Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Bulgarian Bag Back Rack Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bulgarian Bag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Back Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Sandbag Back Rack Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Sandbag Back Rack Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Back Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Sandbag Front Rack Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Sandbag Front Rack Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Plate Overhead Russian Step Up,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Weight Plate,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Plate Overhead Alternating Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Weight Plate,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Front Rack Alternating Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Bottoms Up Front Rack Alternating Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Bottoms Up,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Overhead Alternating Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Bottoms Up Overhead Alternating Russian Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Bottoms Up,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Suitcase Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Suitcase,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Kettlebell Goblet Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Kettlebell Goblet Alternating Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Goblet,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Dumbbell Goblet Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Dumbbell Goblet Alternating Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Goblet,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Kettlebell Horn Grip Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Horn Grip,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Kettlebell Horn Grip Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Horn Grip,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Miniband Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Miniband,Bench (Flat),1,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Heavy Sandbag Bear Hug Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,Plyo Box,1,Standing,Double Arm,Neutral,Bear Hug,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Heavy Sandbag Bear Hug Alternating Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,Plyo Box,1,Standing,Double Arm,Neutral,Bear Hug,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Heavy Sandbag Bear Hug Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Bear Hug,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Heavy Sandbag Bear Hug Alternating Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Bear Hug,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Alternating Single Arm Macebell Reverse Mill,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Macebell,None,0,Standing,Single Arm,Neutral,Behind Back,Continuous,Rotational,,Transverse Plane,Upper Body,Pull,Compound,Ballistics
Ring Grip Straddle Planche,,,Grand Master,Abdominals,Rectus Abdominis,,Gymnastic Rings,None,0,Prone,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Single Arm Kettlebell Dead Clean to Overhead Press,,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Dead Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Clean to Front Rack Ipsilateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,Knee Dominant,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Clean to Front Rack Ipsilateral Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,Knee Dominant,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Dead Clean to Push Jerk,,,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Double Kettlebell Dead Clean to Push Jerk,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Bottoms Up Dead Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Alternating Single Arm Kettlebell Bottoms Up Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Unsorted*
Single Arm Kettlebell Dead Clean to Front Rack Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,Knee Dominant,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Dead Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Kettlebell Dead Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Kettlebell Dead Clean to Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Kettlebell Dead Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Kettlebell Dead Clean to Push Jerk,,,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Kettlebell Dead Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,Knee Dominant,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Macebell Bull Whip to Mill,Video Demonstration,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Macebell,None,0,Staggered Stance,Single Arm,Neutral,Behind Back,Continuous,Rotational,,Transverse Plane,Upper Body,Pull,Compound,Ballistics
Double Kettlebell Bottoms Up Overhead Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Split Squat,Double Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Heavy Sandbag Bear Hug Kang Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,None,0,Standing,Double Arm,Neutral,Bear Hug,Continuous,Knee Dominant,Hip Hinge,Sagittal Plane,Lower Body,Push,Compound,Unsorted*
Double Dumbbell Feet Elevated Renegade Row,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,,Dumbbell,Bench (Flat),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,Anti-Extension,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Dumbbell Feet Elevated Renegade Row to Push Up,,,Advanced,Back,Latissimus Dorsi,,Dumbbell,Bench (Flat),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,Horizontal Push,Sagittal Plane,Upper Body,Push & Pull,Compound,Bodybuilding
Double Dumbbell Suitcase Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Front Rack Forward Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,Pronated,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Overhead Forward Lunge,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Heavy Sandbag Bear Hug Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,None,0,Standing,Double Arm,Neutral,Bear Hug,Continuous,Knee Dominant,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Heavy Sandbag Shoulder Contralateral Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Heavy Sandbag,None,0,Standing,Single Arm,Neutral,Shoulder,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Unsorted*
Barbell Back Rack Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,Pronated,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Suitcase Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Front Rack Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Dumbbell Front Rack Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Dumbbell Overhead Forward Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Forward Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Overhead Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Goblet Forward Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Clubbell Order Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,None,0,Standing,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Clubbell Order Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,None,0,Standing,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Clubbell Order Contralateral Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,None,0,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Macebell Order Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,None,0,Standing,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Overhead Forward Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Bodyweight Forward Lunge,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,None,0,Standing,No Arms,No Grip,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Bulgarian Bag Back Rack Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bulgarian Bag,None,0,Standing,Double Arm,Neutral,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Sandbag Front Rack Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,None,0,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Plate Overhead Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Weight Plate,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Forward Lunge,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Forward Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Forward Lunge,,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Kettlebell Goblet Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Kettlebell Horn Grip Forward Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Horn Grip,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Zercher Forward Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,No Grip,Zercher,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Forward Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
